Comment,Designator,Footprint,LCSC
1k,R3,R_0201_0603Metric,C131396
22,"R1,R2",R_0201_0603Metric,C155743
JST - 1.00mm 4 Pin,J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,C2040
R_Small_US,"R6,R7",R_0402_1005Metric,C25082
USBLC6-2SC6,U3,SOT-23-6,C2827654
MX25R3235FZNxx0,U2,SOP-8_3.76x4.96mm_P1.27mm,C2896794
SW_Push,"SW72,SW73",SW_SPST_SKQG_WithoutStem,C318884
2A,F1,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C4211
5.1k,"R4,R5",R_0201_0603Metric,C473460
1u,"C10,C12,C13,C15,C3",C_0201_0603Metric,C53067
AP2127N3-1.2,U4,TSOT-23,C5446
15p,"C1,C2",C_0201_0603Metric,C64554
100n,"C11,C14,C16,C4,C5,C6,C7,C8,C9",C_0201_0603Metric,C66938
60R @ 100MHz,FB1,L_0603_1608Metric,C76816
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D7,D8,D9",D_SOD-123,C81598
Crystal_GND24_Small,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_GCT_USB4085,
MX_RWin,SW61,SW_MX_1.25u,
MX_RCtrl,SW60,SW_MX_1.25u,
MX_Menu,SW59,SW_MX_1.25u,
MX_RAlt,SW58,SW_MX_1.25u,
MX_Space,SW57,SW_MX_1u,
MX_LAlt,SW56,SW_MX_1.25u,
MX_LWin,SW55,SW_MX_1.25u,
MX_LCtrl,SW54,SW_MX_1.25u,
MX_RShift,SW53,SW_MX_1u,
MX_Question,SW52,SW_MX_1u,
MX_>,SW51,SW_MX_1u,
MX_<,SW50,SW_MX_1u,
MX_M,SW49,SW_MX_1u,
MX_N,SW48,SW_MX_1u,
MX_B,SW47,SW_MX_1u,
MX_V,SW46,SW_MX_1u,
MX_C,SW45,SW_MX_1u,
MX_X,SW44,SW_MX_1u,
MX_Z,SW43,SW_MX_1u,
MX_LShift,SW42,SW_MX_1u,
MX_Enter,SW41,SW_MX_1u,
MX_Apostrophe,SW40,SW_MX_1u,
MX_Colon,SW39,SW_MX_1u,
MX_L,SW38,SW_MX_1u,
MX_K,SW37,SW_MX_1u,
MX_J,SW36,SW_MX_1u,
MX_H,SW35,SW_MX_1u,
MX_G,SW34,SW_MX_1u,
MX_F,SW33,SW_MX_1u,
MX_D,SW32,SW_MX_1u,
MX_S,SW31,SW_MX_1u,
MX_A,SW30,SW_MX_1u,
MX_Caps,SW29,SW_MX_1.75u,
MX_\,SW28,SW_MX_1.5u,
MX_],SW27,SW_MX_1u,
MX_[,SW26,SW_MX_1u,
MX_P,SW25,SW_MX_1u,
MX_O,SW24,SW_MX_1u,
MX_I,SW23,SW_MX_1u,
MX_U,SW22,SW_MX_1u,
MX_Y,SW21,SW_MX_1u,
MX_T,SW20,SW_MX_1u,
MX_R,SW19,SW_MX_1u,
MX_E,SW18,SW_MX_1u,
MX_W,SW17,SW_MX_1u,
MX_Q,SW16,SW_MX_1u,
MX_Tab,SW15,SW_MX_1.5u,
MX_Backspace,SW14,SW_MX_1u,
MX_=,SW13,SW_MX_1u,
MX_-,SW12,SW_MX_1u,
MX_0,SW11,SW_MX_1u,
MX_9,SW10,SW_MX_1u,
MX_8,SW9,SW_MX_1u,
MX_7,SW8,SW_MX_1u,
MX_6,SW7,SW_MX_1u,
MX_5,SW6,SW_MX_1u,
MX_4,SW5,SW_MX_1u,
MX_3,SW4,SW_MX_1u,
MX_2,SW3,SW_MX_1u,
MX_1,SW2,SW_MX_1u,
MX_Tilde,SW1,SW_MX_1u,
MX_stab,S5,STAB_MX_P_2u,
MX_stab,S4,STAB_MX_P_2.25u,
MX_stab,S3,STAB_MX_P_2.75u,
MX_stab,S2,STAB_MX_P_2.25u,
MX_stab,S1,STAB_MX_P_6.25u,
MX_LAlt_1.5,SW64,SW_MX_1.5u,
MX_RWin_1,SW67,SW_MX_1u,
MX_RCtrl_1.5,SW68,SW_MX_1.5u,
MX_Caps_Stp,SW69,SW_MX_1.75u_stp,
MX_LCtrl_1.5,SW62,SW_MX_1.5u,
MX_stab,S6,STAB_MX_P_7u,
MX_RAlt_1.5,SW66,SW_MX_1.5u,
MX_Space_2,SW65,SW_MX_1u,
MX_Backspace_Split_1,SW70,SW_MX_1u,
MX_LWin_1,SW63,SW_MX_1u,
MX_Backspace_Split_2,SW71,SW_MX_1u,
LED,D65,LED_MX_3mm,
LED,D64,LED_MX_3mm,
MX_RShift,SW74,SW_MX_1.75u,
MX_RShift,SW75,SW_MX_1u,
D_Small,D63,D_SOD-123,
D_Small_1,SW755,SW_1,C5184526
D_Small_2,SW756,SW_2,C5156480
D_Small_3,SW757,SW_3,C2803348
