Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,15p,C_0201_0603Metric,126.35875,-104.61125,-45.0,bottom
C2,15p,C_0201_0603Metric,122.60875,-108.61125,-45.0,bottom
C3,1u,C_0201_0603Metric,112.074435,-99.595565,135.0,bottom
C4,100n,C_0201_0603Metric,118.67875,-95.15125,135.0,bottom
C5,100n,C_0201_0603Metric,113.85875,-95.71125,135.0,bottom
C6,100n,C_0201_0603Metric,112.00875,-101.71125,135.0,bottom
C7,100n,C_0201_0603Metric,111.50875,-100.16125,135.0,bottom
C8,100n,C_0201_0603Metric,122.00875,-97.99125,45.0,bottom
C9,100n,C_0201_0603Metric,121.10875,-106.26125,-45.0,bottom
C10,1u,C_0201_0603Metric,113.293064,-96.276935,135.0,bottom
C11,100n,C_0201_0603Metric,115.04875,-104.94125,-135.0,bottom
C12,1u,C_0201_0603Metric,120.50875,-106.81125,-45.0,bottom
C13,1u,C_0201_0603Metric,44.30875,-30.41125,0.0,bottom
C14,100n,C_0201_0603Metric,112.65875,-99.01125,135.0,bottom
C15,1u,C_0201_0603Metric,44.30875,-34.81125,180.0,bottom
C16,100n,C_0201_0603Metric,114.40875,-95.16125,135.0,bottom
D1,D_Small,D_SOD-123,279.705625,-33.670625,180.0,bottom
D2,D_Small,D_SOD-123,27.293125,-33.670625,180.0,bottom
D3,D_Small,D_SOD-123,55.868125,-27.7175,90.0,bottom
D4,D_Small,D_SOD-123,65.393125,-33.670625,180.0,bottom
D5,D_Small,D_SOD-123,84.443125,-33.670625,180.0,bottom
D6,D_Small,D_SOD-123,103.493125,-33.670625,180.0,bottom
D7,D_Small,D_SOD-123,122.543125,-33.670625,180.0,bottom
D8,D_Small,D_SOD-123,141.593125,-33.670625,180.0,bottom
D9,D_Small,D_SOD-123,160.643125,-33.670625,180.0,bottom
D10,D_Small,D_SOD-123,179.693125,-33.670625,180.0,bottom
D11,D_Small,D_SOD-123,198.743125,-33.670625,180.0,bottom
D12,D_Small,D_SOD-123,217.793125,-33.670625,180.0,bottom
D13,D_Small,D_SOD-123,236.843125,-33.670625,180.0,bottom
D14,D_Small,D_SOD-123,255.893125,-33.670625,180.0,bottom
D15,D_Small,D_SOD-123,289.230625,-33.670625,180.0,bottom
