Comment,Designator,Footprint,LCSC
1k,R3,R_0201_0603Metric,C131396
22,"R1,R2",R_0201_0603Metric,C155743
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,C2040
USBLC6-2SC6,U3,SOT-23-6,C2827654
Conn_01x04_MountingPin,J3,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,C2840019
MX25R3235FZNxx0,U2,SOP-8_3.76x4.96mm_P1.27mm,C2896794
SW_Push,"SW72,SW73",SW_SPST_SKQG_WithoutStem,C318884
2A,F1,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C4211
5.1k,"R4,R5",R_0201_0603Metric,C473460
MX_Tilde,"SW1,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW2,SW20,SW21,SW22,SW23,SW24,SW25,SW26,SW27,SW28,SW29,SW3,SW30,SW31,SW32,SW33,SW34,SW35,SW36,SW37,SW38,SW39,SW4,SW40,SW41,SW42,SW43,SW44,SW45,SW46,SW47,SW48,SW49,SW5,SW50,SW51,SW52,SW53,SW54,SW55,SW56,SW57,SW58,SW59,SW6,SW60,SW61,SW62,SW63,SW64,SW65,SW66,SW67,SW68,SW69,SW7,SW70,SW71,SW74,SW75,SW76,SW77,SW78,SW79,SW8,SW9",SW_MX_HS_S_1u,C5156480
1u,"C10,C12,C13,C15,C3",C_0201_0603Metric,C53067
AP2127N3-1.2,U4,TSOT-23,C5446
15p,"C1,C2",C_0201_0603Metric,C64554
100n,"C11,C14,C16,C4,C5,C6,C7,C8,C9",C_0201_0603Metric,C66938
60R @ 100MHz,FB1,L_0603_1608Metric,C76816
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D7,D8,D9",D_SOD-123,C81598
Crystal_GND24_Small,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_GCT_USB4085,
MX_stab,S5,STAB_MX_P_2u,
MX_stab,S4,STAB_MX_P_2.25u,
MX_stab,S3,STAB_MX_P_2.75u,
MX_stab,S2,STAB_MX_P_2.25u,
MX_stab,S1,STAB_MX_P_6.25u,
MX_stab,S6,STAB_MX_P_7u,
MX_stab,S7,STAB_MX_P_ISO_FLIPPED,
