Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,15p,C_0201_0603Metric,99.02,-76.465,225.0,bottom
C2,15p,C_0201_0603Metric,95.27,-80.465,225.0,bottom
C3,1u,C_0201_0603Metric,84.735685,-71.449315,45.0,bottom
C4,100n,C_0201_0603Metric,91.34,-67.005,45.0,bottom
C5,100n,C_0201_0603Metric,86.52,-67.565,45.0,bottom
C6,100n,C_0201_0603Metric,84.67,-73.565,45.0,bottom
C7,100n,C_0201_0603Metric,84.17,-72.015,45.0,bottom
C8,100n,C_0201_0603Metric,94.67,-69.845,135.0,bottom
C9,100n,C_0201_0603Metric,93.77,-78.115,225.0,bottom
C10,1u,C_0201_0603Metric,87.37,-59.32,180.0,bottom
C11,100n,C_0201_0603Metric,87.71,-76.795,315.0,bottom
C12,1u,C_0201_0603Metric,93.17,-78.665,225.0,bottom
C13,1u,C_0201_0603Metric,16.0,-15.75,180.0,bottom
C14,100n,C_0201_0603Metric,85.32,-70.865,45.0,bottom
C15,1u,C_0201_0603Metric,16.0,-20.25,0.0,bottom
C16,100n,C_0201_0603Metric,87.07,-67.015,45.0,bottom
D1,D_Small,D_SOD-123,257.634355,-7.019222,90.0,bottom
D2,D_Small,D_SOD-123,3.0,-10.0,90.0,bottom
D3,D_Small,D_SOD-123,27.0,-7.0,90.0,bottom
D4,D_Small,D_SOD-123,46.0,-7.0,90.0,bottom
D5,D_Small,D_SOD-123,65.0,-7.0,90.0,bottom
D6,D_Small,D_SOD-123,84.0,-7.0,90.0,bottom
D7,D_Small,D_SOD-123,103.0,-7.0,90.0,bottom
D8,D_Small,D_SOD-123,122.0,-7.0,90.0,bottom
D9,D_Small,D_SOD-123,141.0,-7.174375,90.0,bottom
D10,D_Small,D_SOD-123,160.0,-7.0,90.0,bottom
D11,D_Small,D_SOD-123,179.0,-7.0,90.0,bottom
D12,D_Small,D_SOD-123,198.0,-7.0,90.0,bottom
D13,D_Small,D_SOD-123,217.0,-7.0,90.0,bottom
D14,D_Small,D_SOD-123,236.0,-7.0,90.0,bottom
D15,D_Small,D_SOD-123,255.0,-7.019222,90.0,bottom
D16,D_Small,D_SOD-123,10.0,-23.0,90.0,bottom
D17,D_Small,D_SOD-123,34.0,-23.0,90.0,bottom
D18,D_Small,D_SOD-123,53.0,-23.0,90.0,bottom
D19,D_Small,D_SOD-123,72.0,-23.0,90.0,bottom
D20,D_Small,D_SOD-123,91.0,-23.0,90.0,bottom
D21,D_Small,D_SOD-123,110.0,-23.0,90.0,bottom
D22,D_Small,D_SOD-123,129.0,-23.0,90.0,bottom
D23,D_Small,D_SOD-123,148.0,-23.0,90.0,bottom
D24,D_Small,D_SOD-123,167.0,-23.0,90.0,bottom
D25,D_Small,D_SOD-123,186.0,-23.0,90.0,bottom
D26,D_Small,D_SOD-123,205.0,-23.0,90.0,bottom
D27,D_Small,D_SOD-123,224.0,-23.0,90.0,bottom
D28,D_Small,D_SOD-123,243.0,-23.0,90.0,bottom
D29,D_Small,D_SOD-123,254.0,-23.0,90.0,bottom
D30,D_Small,D_SOD-123,18.0,-42.04375,90.0,bottom
D31,D_Small,D_SOD-123,39.0,-42.0,90.0,bottom
D32,D_Small,D_SOD-123,58.0,-42.0,90.0,bottom
D33,D_Small,D_SOD-123,77.0,-42.0,90.0,bottom
D34,D_Small,D_SOD-123,96.0,-42.0,90.0,bottom
D35,D_Small,D_SOD-123,115.0,-42.0,90.0,bottom
D36,D_Small,D_SOD-123,134.0,-42.0,90.0,bottom
D37,D_Small,D_SOD-123,153.0,-42.0,90.0,bottom
D38,D_Small,D_SOD-123,172.0,-42.0,90.0,bottom
D39,D_Small,D_SOD-123,191.0,-42.0,90.0,bottom
D40,D_Small,D_SOD-123,210.0,-42.0,90.0,bottom
D41,D_Small,D_SOD-123,229.0,-42.0,90.0,bottom
D42,D_Small,D_SOD-123,234.0,-42.35,90.0,bottom
D43,D_Small,D_SOD-123,6.0,-66.0,0.0,bottom
D44,D_Small,D_SOD-123,48.0,-61.0,90.0,bottom
D45,D_Small,D_SOD-123,67.0,-61.0,90.0,bottom
D46,D_Small,D_SOD-123,84.0,-61.35,90.0,bottom
D47,D_Small,D_SOD-123,105.0,-61.0,90.0,bottom
D48,D_Small,D_SOD-123,124.0,-61.0,90.0,bottom
D49,D_Small,D_SOD-123,143.0,-61.0,90.0,bottom
D50,D_Small,D_SOD-123,162.0,-61.0,90.0,bottom
D51,D_Small,D_SOD-123,181.0,-61.0,90.0,bottom
D52,D_Small,D_SOD-123,200.0,-61.0,90.0,bottom
D53,D_Small,D_SOD-123,219.0,-61.0,90.0,bottom
D54,D_Small,D_SOD-123,256.0,-62.0,90.0,bottom
D55,D_Small,D_SOD-123,12.49,-66.8875,0.0,bottom
D56,D_Small,D_SOD-123,38.054375,-69.0,270.0,bottom
D57,D_Small,D_SOD-123,61.976,-71.00875,0.0,bottom
D58,D_Small,D_SOD-123,136.0,-69.0,270.0,bottom
D59,D_Small,D_SOD-123,204.0,-70.0,270.0,bottom
D60,D_Small,D_SOD-123,227.0,-70.0,270.0,bottom
D61,D_Small,D_SOD-123,249.428,-70.0,270.0,bottom
D62,D_Small,D_SOD-123,251.221875,-76.62875,270.0,bottom
D63,D_Small,D_SOD-123,253.0,-62.0,90.0,bottom
D64,D_Small,D_SOD-123,18.0,-66.0,0.0,bottom
F1,2A,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,12.0,-2.0,270.0,bottom
FB1,60R @ 100MHz,L_0603_1608Metric,10.5,-2.0,270.0,bottom
J3,Conn_01x04_MountingPin,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,15.852402,-11.098125,270.0,bottom
R1,22,R_0201_0603Metric,86.43033,-69.74467,225.0,bottom
R2,22,R_0201_0603Metric,85.9,-70.275,45.0,bottom
R3,1k,R_0201_0603Metric,94.4,-77.545,45.0,bottom
R4,5.1k,R_0201_0603Metric,15.0,5.32,90.0,bottom
R5,5.1k,R_0201_0603Metric,7.48,-0.1,180.0,bottom
SW1,MX_Tilde,SW_MX_HS_S_1u,0.0,-0.0,180.0,bottom
SW2,MX_1,SW_MX_HS_S_1u,19.05,-0.0,180.0,bottom
SW3,MX_2,SW_MX_HS_S_1u,38.1,-0.0,180.0,bottom
SW4,MX_3,SW_MX_HS_S_1u,57.15,-0.0,180.0,bottom
SW5,MX_4,SW_MX_HS_S_1u,76.2,-0.0,180.0,bottom
SW6,MX_5,SW_MX_HS_S_1u,95.25,-0.0,180.0,bottom
SW7,MX_6,SW_MX_HS_S_1u,114.3,-0.0,180.0,bottom
SW8,MX_7,SW_MX_HS_S_1u,133.35,-0.0,180.0,bottom
SW9,MX_8,SW_MX_HS_S_1u,152.4,-0.0,180.0,bottom
SW10,MX_9,SW_MX_HS_S_1u,171.45,-0.0,180.0,bottom
SW11,MX_0,SW_MX_HS_S_1u,190.5,-0.0,180.0,bottom
SW12,MX_-,SW_MX_HS_S_1u,209.55,-0.0,180.0,bottom
SW13,MX_=,SW_MX_HS_S_1u,228.6,-0.0,180.0,bottom
SW14,MX_Backspace,SW_MX_HS_S_1u,257.175,-0.0,0.0,bottom
SW15,MX_Tab,SW_MX_HS_1.5u,4.7625,-19.05,0.0,bottom
SW16,MX_Q,SW_MX_HS_S_1u,28.575,-19.05,0.0,bottom
SW17,MX_W,SW_MX_HS_S_1u,47.625,-19.05,0.0,bottom
SW18,MX_E,SW_MX_HS_S_1u,66.675,-19.05,0.0,bottom
SW19,MX_R,SW_MX_HS_S_1u,85.725,-19.05,0.0,bottom
SW20,MX_T,SW_MX_HS_S_1u,104.775,-19.05,0.0,bottom
SW21,MX_Y,SW_MX_HS_S_1u,123.825,-19.05,0.0,bottom
SW22,MX_U,SW_MX_HS_S_1u,142.875,-19.05,0.0,bottom
SW23,MX_I,SW_MX_HS_S_1u,161.925,-19.05,0.0,bottom
SW24,MX_O,SW_MX_HS_S_1u,180.975,-19.05,0.0,bottom
SW25,MX_P,SW_MX_HS_S_1u,200.025,-19.05,0.0,bottom
SW26,MX_[,SW_MX_HS_S_1u,219.075,-19.05,0.0,bottom
SW27,MX_],SW_MX_HS_S_1u,238.125,-19.05,0.0,bottom
SW28,MX_\,SW_MX_HS_1.5u,261.9375,-19.05,90.0,bottom
SW29,MX_Caps,SW_MX_HS_1.75u,7.14375,-38.1,180.0,bottom
SW30,MX_A,SW_MX_HS_S_1u,33.3375,-38.1,0.0,bottom
SW31,MX_S,SW_MX_HS_S_1u,52.3875,-38.1,0.0,bottom
SW32,MX_D,SW_MX_HS_S_1u,71.4375,-38.1,0.0,bottom
SW33,MX_F,SW_MX_HS_S_1u,90.4875,-38.1,0.0,bottom
SW34,MX_G,SW_MX_HS_S_1u,109.5375,-38.1,0.0,bottom
SW35,MX_H,SW_MX_HS_S_1u,128.5875,-38.1,0.0,bottom
SW36,MX_J,SW_MX_HS_S_1u,147.6375,-38.1,0.0,bottom
SW37,MX_K,SW_MX_HS_S_1u,166.6875,-38.1,0.0,bottom
SW38,MX_L,SW_MX_HS_S_1u,185.7375,-38.1,0.0,bottom
SW39,MX_Colon,SW_MX_HS_S_1u,204.7875,-38.1,0.0,bottom
SW40,MX_Apostrophe,SW_MX_HS_S_1u,223.8375,-38.1,0.0,bottom
SW41,MX_Enter,SW_MX_HS_S_1u,254.79375,-38.1,270.0,bottom
SW42,MX_LShift,SW_MX_HS_S_1u,11.90625,-57.15,0.0,bottom
SW43,MX_Z,SW_MX_HS_S_1u,42.8625,-57.15,0.0,bottom
SW44,MX_X,SW_MX_HS_S_1u,61.9125,-57.15,0.0,bottom
SW45,MX_C,SW_MX_HS_S_1u,80.9625,-57.15,0.0,bottom
SW46,MX_V,SW_MX_HS_S_1u,100.0125,-57.15,0.0,bottom
SW47,MX_B,SW_MX_HS_S_1u,119.0625,-57.15,0.0,bottom
SW48,MX_N,SW_MX_HS_S_1u,138.1125,-57.15,0.0,bottom
SW49,MX_M,SW_MX_HS_S_1u,157.1625,-57.15,0.0,bottom
SW50,MX_<,SW_MX_HS_S_1u,176.2125,-57.15,0.0,bottom
SW51,MX_>,SW_MX_HS_S_1u,195.2625,-57.15,0.0,bottom
SW52,MX_Question,SW_MX_HS_S_1u,214.3125,-57.15,0.0,bottom
SW53,MX_RShift,SW_MX_HS_S_1u,266.7,-57.15,180.0,bottom
SW54,MX_LCtrl,SW_MX_HS_1.25u,2.38125,-76.2,180.0,bottom
SW55,MX_LWin,SW_MX_HS_1.25u,26.19375,-76.2,0.0,bottom
SW56,MX_LAlt,SW_MX_HS_1.25u,50.00625,-76.2,0.0,bottom
SW57,MX_Space,SW_MX_HS_S_1u,121.44375,-76.2,0.0,bottom
SW58,MX_RAlt,SW_MX_HS_1.25u,192.88125,-76.2,0.0,bottom
SW59,MX_Menu,SW_MX_HS_1.25u,240.50625,-76.2,180.0,bottom
SW60,MX_RCtrl,SW_MX_HS_1.25u,264.31875,-76.2,180.0,bottom
SW61,MX_RWin,SW_MX_HS_1.25u,216.69375,-76.2,180.0,bottom
